,date,artist,track,time,position
1070,2000-07-15,"Henley, Don",Taking You Home,4:08,73
1072,1999-11-27,"Hill, Faith",Breathe,4:04,51
1073,2000-09-02,"Hill, Faith",Let's Make Love,4:11,73
1074,2000-03-11,Hoku,Another Dumb Blonde,3:47,34
1075,2000-04-15,"Hollister, Dave",Can't Stay,6:17,98
1076,2000-03-11,Hot Boys,I Need A Hot Girl,4:16,65
1077,2000-07-08,"Houston, Whitney",Could I Have This Ki...,3:54,67
1078,2000-03-11,"Houston, Whitney",I Learned From The B...,4:18,40
1079,1999-09-25,"Houston, Whitney",My Love Is Your Love,4:16,16
1080,2000-07-08,"Houston, Whitney","Same Script, Differe...",4:45,71
1081,1999-10-30,IMx,Stay The Night,3:37,43
1082,1999-12-25,Ice Cube,You Can Do It,4:20,42
1083,2000-07-01,Ideal,Whatever,3:48,73
1084,2000-04-22,"Iglesias, Enrique",Be With You,3:36,23
1085,1999-12-25,"Iglesias, Enrique",Rhythm Divine,7:35,67
1086,2000-01-15,J-Shin,One Night Stand,4:34,74
1087,2000-10-07,Ja Rule,Between Me And You,4:05,37
1088,2000-07-15,"Jackson, Alan",It Must Be Love,2:53,63
1089,1999-12-04,"Jackson, Alan",Pop A Top,3:04,64
1090,2000-11-25,"Jackson, Alan",www.memory,2:36,54
1091,2000-01-01,Jagged Edge,He Can't Love U,3:30,17
1092,2000-05-27,Jagged Edge,Let's Get Married,4:23,45
1093,2000-07-08,Janet,Doesn't Really Matte...,4:17,30
1094,2000-03-18,Jay-Z,Anything,3:41,55
1095,2000-05-13,Jay-Z,Big Pimpin',3:55,33
1096,2000-02-05,Jay-Z,Do It Again (Put Ya ...,3:47,65
1097,2000-09-02,Jay-Z,Hey Papi,3:40,94
1098,2000-11-18,Jay-Z,I Just Wanna Love U ...,3:50,26
1099,2000-10-28,"Jean, Wyclef",911,4:00,61
1100,2000-01-22,Joe,I Wanna Know,4:57,50
1101,2000-08-26,Joe,Treat Her Like A Lad...,4:12,63
1102,2000-05-13,"John, Elton",Someday Out Of The B...,4:41,59
1103,2000-05-13,"Jones, Donell",Where I Wanna Be,6:22,50
1104,1999-11-13,"Jordan, Montell",Get It On.. Tonite,4:34,69
1105,2000-02-26,Juvenile,U Understand,3:51,98
1106,2000-08-26,Kandi,Don't Think I'm Not,3:50,61
1107,2000-08-26,"Keith, Toby",Country Comes To Tow...,3:39,69
1108,2000-02-19,"Keith, Toby",How Do You Like Me N...,3:29,53
1109,1999-12-25,Kelis,Caught Out There,4:09,63
1110,2000-01-15,Kenny G,Auld Lang Syne (The ...,7:50,8
1111,2000-03-11,Kid Rock,Only God Knows Why,5:27,39
1112,2000-04-15,"Kravitz, Lenny",I Belong To You,4:17,71
1113,2000-03-25,Kumbia Kings,U Don't Love Me,3:50,67
1114,2000-05-06,LFO,I Don't Wanna Kiss Y...,5:00,73
1115,2000-08-26,LFO,West Side Story,3:27,96
1118,2000-02-19,"Lawrence, Tracy",Lessons Learned,2:55,61
1119,2000-09-09,"Levert, Gerald",Baby U Are,4:10,96
1120,2000-04-08,"Levert, Gerald",Mr. Too Damn Good,4:06,76
1121,2000-09-09,Lil Bow Wow,Bounce With Me,3:22,24
1122,1999-12-25,Lil Wayne,Tha Block Is Hot,4:13,84
1123,2000-12-16,Lil' Kim,How Many Licks?,3:50,86
1124,2000-08-05,Lil' Kim,No Matter What They ...,4:12,60
1125,2000-09-02,Lil' Mo,Ta Da,4:17,97
1126,2000-08-19,Lil' Zane,Callin' Me,3:43,40
1127,1999-12-25,Limp Bizkit,N 2 Gether Now,3:55,78
1128,1999-12-25,Limp Bizkit,Re-Arranged,4:08,95
1129,2000-12-02,Limp Bizkit,Rollin',4:04,66
1130,1999-06-26,Lonestar,Amazed,4:25,39
1131,2000-01-08,Lonestar,Smile,3:33,80
1132,2000-07-01,Lonestar,What About Now,3:30,64
1133,2000-03-11,"Lopez, Jennifer",Feelin' Good,4:28,54
1134,2000-10-07,"Loveless, Patty",That's The Kind Of M...,3:27,93
1135,2000-04-08,Lox,"Ryde or Die, Chick",3:56,84
1136,2000-06-10,Lucy Pearl,Dance Tonight,3:45,59
1137,2000-10-21,Ludacris,What's Your Fantasy,4:16,55
1138,1999-12-11,M2M,Don't Say You Love M...,3:41,46
1139,2000-04-22,M2M,Mirror Mirror,3:19,91
1140,2000-07-29,Madison Avenue,Don't Call Me Baby,3:44,93
1141,2000-03-11,Madonna,American Pie,4:30,29
1142,2000-09-02,Madonna,Music,3:45,14
1143,2000-04-01,"Martin, Ricky",Private Emotion,4:02,78
1144,1999-12-11,"Martin, Ricky",Shake Your Bon-Bon,3:08,39
1145,2000-10-28,"Martin, Ricky",She Bangs,4:02,21
1146,2000-04-15,Mary Mary,Shackles (Praise You...,3:12,54
1148,2000-02-26,"McBride, Martina",Love's The Only Hous...,5:13,58
1149,2000-09-30,"McBride, Martina",There You Are,3:26,75
1150,2000-06-03,"McEntire, Reba",I'll Be,4:23,72
1151,1999-11-20,"McEntire, Reba",What Do You Say,3:26,71
1152,1999-12-18,"McGraw, Tim",My Best Friend,4:33,64
1153,2000-11-11,"McGraw, Tim",My Next Thirty Years,3:37,52
1154,2000-06-03,"McGraw, Tim",Some Things Never Ch...,3:56,65
1155,2000-03-18,"McKnight, Brian",Stay Or Let It Go,4:32,78
1156,2000-02-19,"Messina, Jo Dee",Because You Love Me,3:50,71
1157,2000-07-15,"Messina, Jo Dee",That's The Way,3:17,54
1158,2000-06-03,Metallica,I Disappear,4:26,81
1159,2000-03-04,Metallica,No Leaf Clover (Live...,5:43,76
1160,2000-03-25,Montgomery Gentry,Daddy Won't Sell The...,4:18,79
1161,2000-09-30,"Montgomery, John Michael",The Little Girl,3:52,56
1162,2000-11-18,"Moore, Chante",Straight Up,3:40,90
1163,2000-07-08,"Moore, Mandy",I Wanna Be With You,4:12,50
1164,2000-09-30,"Mumba, Samantha",Gotta Tell You,3:19,49
1165,2000-11-04,Musiq,Just Friends,4:02,55
1166,2000-09-09,Mya,Case Of The Ex (What...,3:50,47
1167,2000-05-06,Mya,The Best Of Me,4:12,62
1168,2000-09-02,Mystikal,Shake Ya Ass,4:46,41
1169,2000-02-19,N'Sync,Bye Bye Bye,3:15,14
1170,2000-05-27,N'Sync,It's Gonna Be Me,3:10,39
1171,2000-10-21,N'Sync,This I Promise You,4:23,15
1172,2000-04-15,Nas,You Owe Me,3:51,59
1173,2000-05-20,Nelly,(Hot S**t) Country G...,4:17,76
1174,2000-06-17,Next,Wifey,4:03,40
1175,2000-05-27,Nine Days,Absolutely (Story Of...,3:09,52
1176,2000-12-23,Nine Days,If I Am,4:18,94
1177,2000-07-22,No Doubt,Simple Kind Of Life,4:11,38
1178,2000-06-24,Nu Flavor,3 Little Words,3:54,89
1179,2000-12-16,"Offspring, The",Original Prankster,3:42,70
1180,2000-06-03,"Paisley, Brad",Me Neither,3:19,92
1181,2000-11-04,"Paisley, Brad",We Danced,3:45,52
1182,2000-08-19,Papa Roach,Last Resort,3:19,69
1183,2000-06-03,Pearl Jam,Nothing As It Seems,5:20,89
1184,2000-09-02,Pink,Most Girls,4:06,36
1185,2000-03-25,Pink,There U Go,3:23,11
1186,2000-08-05,"Price, Kelly",As We Lay,6:20,64
1187,2000-06-03,"Price, Kelly",Love Sets You Free,3:46,100
1188,2000-10-14,"Price, Kelly",You Should've Told M...,3:12,87
1189,2000-10-07,Profyle,Liar,3:57,17
1190,2000-03-04,Puff Daddy,Best Friend,5:33,79
1191,2000-02-12,Q-Tip,Breathe And Stop,4:06,82
1192,2000-01-15,R.E.M.,The Great Beyond,4:10,62
1193,2000-05-27,Rascal Flatts,Prayin' For Daylight,3:36,68
1194,2000-04-08,"Raye, Collin",Couldn't Last A Mome...,3:40,73
1195,2000-08-19,Red Hot Chili Peppers,Californication,5:21,77
1196,2000-03-04,Red Hot Chili Peppers,Otherside,4:13,52
1197,1999-11-06,"Rimes, LeAnn",Big Deal,3:03,51
1198,2000-09-30,"Rimes, LeAnn",Can't Fight The Moon...,3:33,83
1199,2000-06-17,"Rimes, LeAnn",I Need You,3:42,63
1200,2000-04-01,"Rogers, Kenny",Buy Me A Rose,3:46,65
1201,2000-07-22,Ruff Endz,No More,3:56,17
1202,2000-02-19,Sammie,I Like It,4:09,44
1203,2000-03-04,Santana,"Maria, Maria",4:18,5
1204,2000-04-29,Savage Garden,Crash And Burn,4:41,36
1205,1999-11-13,Savage Garden,I Knew I Loved You,4:07,31
1207,2000-08-05,SheDaisy,I Will.. But,3:40,61
1208,2000-02-26,SheDaisy,This Woman Needs,3:20,67
1209,2000-12-02,"Sheist, Shade",Where I Wanna Be,4:16,99
1210,2000-09-30,Shyne,Bad Boyz,4:22,90
1211,2000-07-22,"Simpson, Jessica",I Think I'm In Love ...,3:32,29
1212,2000-04-22,"Simpson, Jessica",Where You Are,3:51,62
1213,1999-12-11,Sisqo,Got To Get It,3:52,58
1214,2000-07-15,Sisqo,Incomplete,3:52,61
1215,2000-02-19,Sisqo,Thong Song,4:05,26
1216,2000-08-05,Sister Hazel,Change Your Mind,4:02,59
1217,1999-11-20,Smash Mouth,Then The Morning Com...,3:04,46
1218,2000-03-04,"Smith, Will",Freakin' It,3:58,99
1219,2000-04-29,Son By Four,A Puro Dolor (Purest...,3:30,79
1220,2000-02-12,Sonique,It Feels So Good,3:48,23
1221,2000-07-29,SoulDecision,Faded,3:25,64
1222,2000-02-19,"Spears, Britney",From The Bottom Of M...,4:30,52
1223,2000-09-02,"Spears, Britney",Lucky,3:23,26
1224,2000-05-13,"Spears, Britney",Oops!.. I Did It Aga...,3:30,19
1226,2000-07-01,Splender,I Think God Can Expl...,3:55,62
1227,2000-06-03,Sting,Desert Rose,3:52,59
1228,2000-07-29,Stone Temple Pilots,Sour Girl,4:16,78
1229,2000-01-15,"Stone, Angie",No More Rain (In Thi...,4:42,66
1230,2000-09-16,"Strait, George",Go On,3:48,56
1231,2000-02-19,"Strait, George",The Best Day,3:24,45
1232,2000-02-05,Sugar Ray,Falls Apart,4:15,40
1233,2000-03-04,TLC,Dear Lie,4:36,51
1234,2000-04-15,Tamar,If You Don't Wanna L...,4:02,89
1235,2000-10-07,Tamia,Can't Go For That,3:38,88
1236,2000-09-23,Third Eye Blind,Deep Inside Of You,4:10,70
1237,2000-02-12,Third Eye Blind,Never Let You Go,3:57,24
1238,2000-12-16,"Thomas, Carl",Emotional,4:31,58
1239,2000-04-15,"Thomas, Carl",I Wish,3:50,39
1240,2000-10-14,"Thomas, Carl",Summer Rain,4:57,80
1241,2000-09-16,"Tippin, Aaron",Kiss This,2:53,53
1242,1999-10-30,Train,Meet Virginia,3:55,54
1243,2000-06-10,Trick Daddy,Shut Up,4:17,87
1244,2000-09-30,Trina,Pull Over,2:58,100
1245,2000-09-09,"Tritt, Travis",Best Of Intentions,4:15,70
1247,2000-08-05,"Urban, Keith",Your Everything,4:10,73
1248,2000-11-25,Usher,Pop Ya Collar,3:36,60
1249,2000-03-25,"Vassar, Phil",Carlene,4:07,64
1250,2000-10-21,"Vassar, Phil",Just Another Day In ...,3:54,67
1251,2000-02-12,Vertical Horizon,Everything You Want,4:01,46
1252,2000-09-16,Vertical Horizon,You're A God,3:45,41
1253,2000-05-06,Vitamin C,Graduation (Friends ...,4:23,54
1254,2000-12-23,Vitamin C,The Itch,3:30,52
1255,1999-12-25,"Walker, Clay","Live, Laugh, Love",4:06,94
1256,2000-05-06,"Walker, Clay",The Chain Of Love,5:03,57
1257,2000-11-18,"Wallflowers, The",Sleepwalker,3:29,80
1258,2000-04-22,Westlife,Swear It Again,4:07,55
1259,1999-12-11,"Williams, Robbie",Angels,3:56,69
1260,2000-02-05,"Wills, Mark",Back At One,4:00,43
1261,2000-07-08,"Worley, Darryl",When You Need My Lov...,3:35,92
1262,2000-03-25,"Wright, Chely",It Was,3:51,72
1263,2000-05-20,Yankee Grey,Another Nine Minutes,3:10,74
1264,2000-04-22,"Yearwood, Trisha",Real Live Woman,3:55,82
1265,2000-04-08,Ying Yang Twins,Whistle While You Tw...,4:19,85
1267,2000-05-20,matchbox twenty,Bent,4:12,24
1268,2000-03-25,2 Pac,Baby Don't Cry (Keep...,4:22,87
1270,2000-05-06,3 Doors Down,Kryptonite,3:53,66
1271,2000-11-18,3 Doors Down,Loser,4:24,67
1272,2000-05-13,504 Boyz,Wobble Wobble,3:35,17
1273,2000-09-16,98^0,Give Me Just One Nig...,3:24,26
1274,2000-08-05,A*Teens,Dancing Queen,3:44,100
1275,2000-02-26,Aaliyah,I Don't Wanna,4:15,38
1276,2000-04-15,Aaliyah,Try Again,4:03,21
1277,2000-09-23,"Adams, Yolanda",Open My Heart,5:30,68
1278,2000-05-27,"Adkins, Trace",More,3:05,73
1279,2000-09-02,"Aguilera, Christina",Come On Over Baby (A...,3:38,23
1280,2000-05-13,"Aguilera, Christina",I Turn To You,4:00,21
1281,1999-12-25,"Aguilera, Christina",What A Girl Wants,3:18,13
1282,2000-05-06,Alice Deejay,Better Off Alone,6:50,45
1283,2000-02-19,"Allan, Gary",Smoke Rings In The D...,4:18,92
1284,1999-08-14,Amber,Sexual,4:38,100
1286,2000-10-14,"Anthony, Marc",My Baby You,3:59,82
1287,2000-03-25,"Anthony, Marc",You Sang To Me,3:50,30
1288,2000-12-02,Avant,My First Love,4:28,39
1289,2000-05-27,Avant,Separated,4:13,26
1290,2000-05-27,BBMak,Back Here,3:35,38
1291,2000-11-11,"Backstreet Boys, The",Shape Of My Heart,3:49,12
1292,2000-01-29,"Backstreet Boys, The",Show Me The Meaning ...,3:54,16
1293,2000-06-24,"Backstreet Boys, The",The One,3:46,31
1294,2000-09-16,"Badu, Erkyah",Bag Lady,5:03,48
1295,2000-08-19,Baha Men,Who Let The Dogs Out,3:17,65
1296,2000-10-07,Barenaked Ladies,Pinch Me,3:46,51
1297,2000-11-18,Beenie Man,Girls Dem Sugar,4:17,62
1298,2000-06-17,Before Dark,Monica,4:04,77
1300,2000-05-20,Big Punisher,It's So Hard,3:25,81
1301,2000-04-01,Black Rob,Whoa!,4:04,47
1302,2000-03-18,"Black, Clint",Been There,5:28,58
1303,1999-11-20,Blaque,Bring It All To Me,3:46,24
1304,1999-12-11,"Blige, Mary J.",Deep Inside,5:26,75
1305,2000-05-13,"Blige, Mary J.",Give Me You,5:00,68
1306,2000-01-01,Blink-182,All The Small Things,2:52,59
1307,2000-04-15,Bloodhound Gang,The Bad Touch,4:20,52
1308,2000-09-09,Bon Jovi,It's My Life,3:44,48
1309,2000-04-15,"Braxton, Toni",He Wasn't Man Enough,4:21,35
1310,2000-08-26,"Braxton, Toni",Just Be A Man About ...,4:10,37
1313,2000-05-06,"Brock, Chad",Yes!,3:22,59
1314,2000-07-08,Brooks & Dunn,You'll Always Be Lov...,2:58,83
1315,2000-03-18,"Brooks, Garth",Do What You Gotta Do,2:56,69
1316,2000-02-26,"Byrd, Tracy",Put Your Hand In Min...,4:30,86
1317,2000-11-18,"Cagle, Chris",My Love Goes On And ...,3:02,84
1318,2000-11-11,Cam'ron,What Means The World...,4:38,84
1319,2000-07-22,"Carey, Mariah",Crybaby,5:19,77
1320,2000-01-08,"Carey, Mariah",Thank God I Found Yo...,4:14,41
1321,2000-09-23,"Carter, Aaron",Aaron's Party (Come ...,3:23,35
1322,2000-07-22,"Carter, Torrey",Take That,3:43,89
1323,2000-10-28,Changing Faces,That Other Woman,4:00,64
1324,2000-11-18,"Chesney, Kenny",I Lost It,3:54,58
1325,2000-04-29,"Chesney, Kenny",What I Need To Do,4:05,69
1326,2000-12-16,Clark Family Experience,Meanwhile Back At Th...,2:56,80
1327,2001-01-13,"Clark, Terri",A Little Gasoline,3:07,99
1328,2000-09-02,Common,The Light,3:55,46
1329,1999-12-04,Counting Crows,Hanginaround,4:07,46
1330,1999-10-09,Creed,Higher,5:16,61
1331,2000-06-10,Creed,With Arms Wide Open,3:52,70
1332,2000-10-21,"Cyrus, Billy Ray",You Won't Be Lonely ...,3:45,91
1333,2000-01-08,D'Angelo,Left & Right,4:35,91
1334,2000-02-19,D'Angelo,Untitled (How Does I...,7:10,25
1335,2000-03-25,DMX,Party Up (Up In Here...,3:45,49
1336,2000-07-29,DMX,What You Want,4:05,86
1337,2000-02-12,DMX,What's My Name,3:50,67
1338,2000-03-25,Da Brat,That's What I'm Look...,3:44,60
1339,2000-07-01,Da Brat,What'Chu Like,3:57,51
1340,2000-04-22,"Davidson, Clay",Unconditional,3:56,83
1342,2000-10-21,Destiny's Child,Independent Women Pa...,3:38,23
1343,2000-06-10,Destiny's Child,Jumpin' Jumpin',3:48,57
1344,2000-01-22,Destiny's Child,Say My Name,4:31,16
1345,2000-09-09,"Diffie, Joe",It's Always Somethin...,2:55,60
1346,2000-01-29,"Diffie, Joe",The Quittin' Kind,3:23,93
1347,1999-12-11,"Dion, Celine",That's The Way It Is,4:03,44
1348,2000-07-22,"Dixie Chicks, The",Cold Day In July,5:12,68
1349,1999-12-25,"Dixie Chicks, The",Cowboy Take Me Away,4:51,52
1350,2000-04-15,"Dixie Chicks, The",Goodbye Earl,4:19,20
1351,2000-11-04,"Dixie Chicks, The",Without You,3:32,50
1352,2000-02-19,Dr. Dre,Forgot About Dre,3:42,36
1353,2000-06-24,Dr. Dre,The Next Episode,2:38,46
1354,2000-03-11,Drama,"Left, Right, Left",3:37,75
1355,2000-10-28,Dream,He Loves U Not,3:43,47
1356,2000-02-05,"Eastsidaz, The",G'D Up,4:27,57
1358,2000-01-08,Eiffel 65,Blue,3:29,13
1359,1999-12-25,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,7
1360,2000-12-02,Eminem,Stan,5:26,51
1361,2000-06-03,Eminem,The Real Slim Shady,4:42,11
1362,2000-09-23,Eminem,The Way I Am,4:40,59
1365,2000-11-18,"Evans, Sara",Born To Fly,5:36,55
1366,2000-08-12,Eve,Got It All,3:48,95
1367,2000-02-05,Eve,Love Is Blind,3:51,46
1368,2000-08-05,Everclear,Wonderful,4:30,33
1369,2000-07-08,"Fabian, Lara",I Will Love Again,3:43,60
1370,1999-12-11,Fatboy Slim,The Rockafeller Skan...,4:00,77
1371,1999-12-25,Filter,Take A Picture,4:23,38
1372,1999-11-13,Foo Fighters,Learn To Fly,3:55,60
1374,2000-12-09,Funkmaster Flex,Do You,4:14,91
1376,2000-09-30,"Gill, Vince",Feels Like Love,4:13,73
1377,2000-07-15,"Gilman, Billy",One Voice,4:07,65
1378,2000-01-08,Ginuwine,None Of Ur Friends B...,4:12,60
1379,2000-02-05,Ginuwine,The Best Man I Can B...,4:06,84
1380,2000-05-20,Goo Goo Dolls,Broadway,3:54,35
1381,2000-03-18,"Gray, Macy",I Try,3:52,30
1382,2000-04-08,"Griggs, Andy",She's More,3:19,62
1383,2000-01-15,Guy,Dancin',4:08,36
1384,2000-05-20,Hanson,This Time Around,4:14,87
1385,1999-12-25,"Hart, Beth",L.A. Song,3:47,99
1386,2000-05-27,"Heatherly, Eric",Flowers On The Wall,3:16,82
1387,2000-07-22,"Henley, Don",Taking You Home,4:08,66
1389,1999-12-04,"Hill, Faith",Breathe,4:04,42
1390,2000-09-09,"Hill, Faith",Let's Make Love,4:11,67
1391,2000-03-18,Hoku,Another Dumb Blonde,3:47,34
1393,2000-03-18,Hot Boys,I Need A Hot Girl,4:16,65
1394,2000-07-15,"Houston, Whitney",Could I Have This Ki...,3:54,59
1395,2000-03-18,"Houston, Whitney",I Learned From The B...,4:18,28
1396,1999-10-02,"Houston, Whitney",My Love Is Your Love,4:16,11
1397,2000-07-15,"Houston, Whitney","Same Script, Differe...",4:45,70
1398,1999-11-06,IMx,Stay The Night,3:37,40
1399,2000-01-01,Ice Cube,You Can Do It,4:20,42
1400,2000-07-08,Ideal,Whatever,3:48,64
1401,2000-04-29,"Iglesias, Enrique",Be With You,3:36,17
1402,2000-01-01,"Iglesias, Enrique",Rhythm Divine,7:35,67
1403,2000-01-22,J-Shin,One Night Stand,4:34,72
1404,2000-10-14,Ja Rule,Between Me And You,4:05,27
1405,2000-07-22,"Jackson, Alan",It Must Be Love,2:53,57
1406,1999-12-11,"Jackson, Alan",Pop A Top,3:04,63
1407,2000-12-02,"Jackson, Alan",www.memory,2:36,50
1408,2000-01-08,Jagged Edge,He Can't Love U,3:30,15
1409,2000-06-03,Jagged Edge,Let's Get Married,4:23,38
1410,2000-07-15,Janet,Doesn't Really Matte...,4:17,29
1411,2000-03-25,Jay-Z,Anything,3:41,63
1412,2000-05-20,Jay-Z,Big Pimpin',3:55,28
1413,2000-02-12,Jay-Z,Do It Again (Put Ya ...,3:47,74
1414,2000-09-09,Jay-Z,Hey Papi,3:40,83
1415,2000-11-25,Jay-Z,I Just Wanna Love U ...,3:50,23
1416,2000-11-04,"Jean, Wyclef",911,4:00,53
1417,2000-01-29,Joe,I Wanna Know,4:57,41
1418,2000-09-02,Joe,Treat Her Like A Lad...,4:12,69
1419,2000-05-20,"John, Elton",Someday Out Of The B...,4:41,67
1420,2000-05-20,"Jones, Donell",Where I Wanna Be,6:22,41
1421,1999-11-20,"Jordan, Montell",Get It On.. Tonite,4:34,67
1422,2000-03-04,Juvenile,U Understand,3:51,97
1423,2000-09-02,Kandi,Don't Think I'm Not,3:50,49
1424,2000-09-02,"Keith, Toby",Country Comes To Tow...,3:39,66
1425,2000-02-26,"Keith, Toby",How Do You Like Me N...,3:29,45
1426,2000-01-01,Kelis,Caught Out There,4:09,63
1427,2000-01-22,Kenny G,Auld Lang Syne (The ...,7:50,66
1428,2000-03-18,Kid Rock,Only God Knows Why,5:27,35
1429,2000-04-22,"Kravitz, Lenny",I Belong To You,4:17,71
1430,2000-04-01,Kumbia Kings,U Don't Love Me,3:50,70
1431,2000-05-13,LFO,I Don't Wanna Kiss Y...,5:00,91
1435,2000-02-26,"Lawrence, Tracy",Lessons Learned,2:55,48
1436,2000-09-16,"Levert, Gerald",Baby U Are,4:10,96
1437,2000-04-15,"Levert, Gerald",Mr. Too Damn Good,4:06,86
1438,2000-09-16,Lil Bow Wow,Bounce With Me,3:22,20
1439,2000-01-01,Lil Wayne,Tha Block Is Hot,4:13,84
1440,2000-12-23,Lil' Kim,How Many Licks?,3:50,86
1441,2000-08-12,Lil' Kim,No Matter What They ...,4:12,65
1442,2000-09-09,Lil' Mo,Ta Da,4:17,100
1443,2000-08-26,Lil' Zane,Callin' Me,3:43,34
1444,2000-01-01,Limp Bizkit,N 2 Gether Now,3:55,78
1445,2000-01-01,Limp Bizkit,Re-Arranged,4:08,95
1446,2000-12-09,Limp Bizkit,Rollin',4:04,65
1447,1999-07-03,Lonestar,Amazed,4:25,38
1448,2000-01-15,Lonestar,Smile,3:33,65
1449,2000-07-08,Lonestar,What About Now,3:30,56
1450,2000-03-18,"Lopez, Jennifer",Feelin' Good,4:28,54
1451,2000-10-14,"Loveless, Patty",That's The Kind Of M...,3:27,88
1452,2000-04-15,Lox,"Ryde or Die, Chick",3:56,91
1453,2000-06-17,Lucy Pearl,Dance Tonight,3:45,55
1454,2000-10-28,Ludacris,What's Your Fantasy,4:16,49
1455,1999-12-18,M2M,Don't Say You Love M...,3:41,54
1456,2000-04-29,M2M,Mirror Mirror,3:19,75
1457,2000-08-05,Madison Avenue,Don't Call Me Baby,3:44,93
1458,2000-03-18,Madonna,American Pie,4:30,33
1459,2000-09-09,Madonna,Music,3:45,2
1460,2000-04-08,"Martin, Ricky",Private Emotion,4:02,89
1461,1999-12-18,"Martin, Ricky",Shake Your Bon-Bon,3:08,39
1462,2000-11-04,"Martin, Ricky",She Bangs,4:02,18
1463,2000-04-22,Mary Mary,Shackles (Praise You...,3:12,43
1465,2000-03-04,"McBride, Martina",Love's The Only Hous...,5:13,53
1466,2000-10-07,"McBride, Martina",There You Are,3:26,73
1467,2000-06-10,"McEntire, Reba",I'll Be,4:23,69
1468,1999-11-27,"McEntire, Reba",What Do You Say,3:26,69
1469,1999-12-25,"McGraw, Tim",My Best Friend,4:33,54
1470,2000-11-18,"McGraw, Tim",My Next Thirty Years,3:37,46
1471,2000-06-10,"McGraw, Tim",Some Things Never Ch...,3:56,63
1472,2000-03-25,"McKnight, Brian",Stay Or Let It Go,4:32,76
1473,2000-02-26,"Messina, Jo Dee",Because You Love Me,3:50,66
1474,2000-07-22,"Messina, Jo Dee",That's The Way,3:17,50
1475,2000-06-10,Metallica,I Disappear,4:26,81
1476,2000-03-11,Metallica,No Leaf Clover (Live...,5:43,74
1477,2000-04-01,Montgomery Gentry,Daddy Won't Sell The...,4:18,81
1478,2000-10-07,"Montgomery, John Michael",The Little Girl,3:52,45
1479,2000-11-25,"Moore, Chante",Straight Up,3:40,85
1480,2000-07-15,"Moore, Mandy",I Wanna Be With You,4:12,45
1481,2000-10-07,"Mumba, Samantha",Gotta Tell You,3:19,39
1482,2000-11-11,Musiq,Just Friends,4:02,54
1483,2000-09-16,Mya,Case Of The Ex (What...,3:50,42
1484,2000-05-13,Mya,The Best Of Me,4:12,55
1485,2000-09-09,Mystikal,Shake Ya Ass,4:46,34
1486,2000-02-26,N'Sync,Bye Bye Bye,3:15,13
1487,2000-06-03,N'Sync,It's Gonna Be Me,3:10,26
1488,2000-10-28,N'Sync,This I Promise You,4:23,11
1489,2000-04-22,Nas,You Owe Me,3:51,59
1490,2000-05-27,Nelly,(Hot S**t) Country G...,4:17,55
1491,2000-06-24,Next,Wifey,4:03,36
1492,2000-06-03,Nine Days,Absolutely (Story Of...,3:09,39
1493,2000-12-30,Nine Days,If I Am,4:18,100
1494,2000-07-29,No Doubt,Simple Kind Of Life,4:11,38
1495,2000-07-01,Nu Flavor,3 Little Words,3:54,94
1496,2000-12-23,"Offspring, The",Original Prankster,3:42,77
1498,2000-11-11,"Paisley, Brad",We Danced,3:45,45
1499,2000-08-26,Papa Roach,Last Resort,3:19,66
1500,2000-06-10,Pearl Jam,Nothing As It Seems,5:20,93
1501,2000-09-09,Pink,Most Girls,4:06,27
1502,2000-04-01,Pink,There U Go,3:23,11
1503,2000-08-12,"Price, Kelly",As We Lay,6:20,71
1505,2000-10-21,"Price, Kelly",You Should've Told M...,3:12,86
1506,2000-10-14,Profyle,Liar,3:57,16
1507,2000-03-11,Puff Daddy,Best Friend,5:33,99
1508,2000-02-19,Q-Tip,Breathe And Stop,4:06,96
1509,2000-01-22,R.E.M.,The Great Beyond,4:10,60
1510,2000-06-03,Rascal Flatts,Prayin' For Daylight,3:36,66
1511,2000-04-15,"Raye, Collin",Couldn't Last A Mome...,3:40,67
1512,2000-08-26,Red Hot Chili Peppers,Californication,5:21,79
1513,2000-03-11,Red Hot Chili Peppers,Otherside,4:13,51
1514,1999-11-13,"Rimes, LeAnn",Big Deal,3:03,51
1515,2000-10-07,"Rimes, LeAnn",Can't Fight The Moon...,3:33,96
1516,2000-06-24,"Rimes, LeAnn",I Need You,3:42,59
1517,2000-04-08,"Rogers, Kenny",Buy Me A Rose,3:46,54
1518,2000-07-29,Ruff Endz,No More,3:56,12
1519,2000-02-26,Sammie,I Like It,4:09,40
1520,2000-03-11,Santana,"Maria, Maria",4:18,2
1521,2000-05-06,Savage Garden,Crash And Burn,4:41,33
1522,1999-11-20,Savage Garden,I Knew I Loved You,4:07,20
1524,2000-08-12,SheDaisy,I Will.. But,3:40,59
1525,2000-03-04,SheDaisy,This Woman Needs,3:20,57
1526,2000-12-09,"Sheist, Shade",Where I Wanna Be,4:16,100
1527,2000-10-07,Shyne,Bad Boyz,4:22,82
1528,2000-07-29,"Simpson, Jessica",I Think I'm In Love ...,3:32,25
1529,2000-04-29,"Simpson, Jessica",Where You Are,3:51,76
1530,1999-12-18,Sisqo,Got To Get It,3:52,48
1531,2000-07-22,Sisqo,Incomplete,3:52,61
1532,2000-02-26,Sisqo,Thong Song,4:05,26
